State,Restaurant,Count of Restaurant
AK,Subway,4
AL,Taco Bell,3
AR,McDonald's,18
AZ,McDonald's,59
CA,McDonald's,158
CO,Taco Bell,27
CT,Subway,17
DE,Arby's,11
FL,McDonald's,148
GA,McDonald's,101
HI,McDonald's,12
IA,McDonald's,22
ID,Subway,10
IL,McDonald's,78
IN,Arby's,48
KS,Taco Bell,15
KY,McDonald's,51
LA,McDonald's,46
MA,McDonald's,34
MD,McDonald's,43
ME,Burger King,6
MI,McDonald's,73
MN,McDonald's,57
MO,Taco Bell,43
MS,McDonald's,19
MT,McDonald's,11
NC,McDonald's,68
ND,Subway,5
NE,Burger King,16
NH,McDonald's,9
NJ,Burger King,24
NM,McDonald's,23
NV,McDonald's,25
NY,McDonald's,107
OH,McDonald's,101
OK,McDonald's,34
OR,McDonald's,51
PA,McDonald's,102
RI,Wendy's,5
SC,McDonald's,28
SD,McDonald's,13
TN,McDonald's,72
TX,McDonald's,139
UT,Arby's,19
VA,Arby's,37
VT,McDonald's,7
WA,McDonald's,45
WI,McDonald's,37
WV,McDonald's,19
WY,Arby's,6